,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
80,13.4,32.6,32.3,31.9,31.1,6.528754500177209,3,350
81,13.4,32.8,32.3,32.0,31.2,6.464124111182935,4,350
82,13.4,32.8,32.3,31.9,31.3,5.972021081234416,3,350
83,13.4,32.9,32.6,32.1,31.4,6.155945940241595,4,350
84,13.4,32.9,32.7,32.0,31.5,5.844501201044998,3,350
85,13.4,33.0,32.7,32.0,31.6,4.564438459958463,3,400
86,13.4,33.1,32.7,32.1,31.6,4.649679218630707,4,400
87,13.4,33.1,32.8,32.0,31.6,4.920494647485923,3,400
88,13.4,33.2,32.9,32.0,31.8,4.732652462399076,4,400
89,13.4,33.2,32.8,32.1,31.8,4.721832146422126,2,400
90,13.2,32.9,32.6,31.7,31.5,5.222832132952414,4,400
91,13.2,33.0,32.7,31.7,31.5,4.637805909677803,4,400
92,13.2,33.1,32.8,31.9,31.7,4.589690820067597,4,400
93,13.2,33.1,32.8,31.9,31.8,4.390686826358873,2,400
94,13.2,33.1,32.8,32.0,31.9,4.638640618534895,4,400
95,13.2,33.2,32.8,32.0,32.0,4.598787943449625,4,400
96,13.2,33.3,32.8,32.1,32.0,4.323527860381179,3,400
97,13.2,33.4,32.8,32.4,32.0,3.9448385338139724,4,400
98,13.0,33.1,32.5,32.2,31.8,3.807674367688075,4,400
99,13.0,33.2,32.7,32.2,31.9,3.894505631455143,3,400
100,13.0,33.2,32.7,32.2,31.9,4.301182567135008,3,400
101,13.0,33.3,32.8,32.3,31.9,3.9523934212411502,2,400
102,13.0,33.4,32.9,32.4,31.9,4.225424718565586,3,400
103,13.0,33.5,32.9,32.5,32.0,3.7352771715734203,3,400
104,13.0,33.5,32.9,32.4,32.0,3.831847055656621,4,400
105,13.0,33.5,32.9,32.4,32.0,4.313077682842145,3,400
106,12.9,33.5,32.9,32.5,32.1,3.9677737416701553,4,400
107,13.0,33.4,32.9,32.7,32.3,3.8043028567461223,3,400
108,12.9,33.4,32.9,32.7,32.2,3.9652210462037467,4,400
109,12.9,33.5,33.0,32.8,32.2,4.25824737351302,4,400
110,12.9,33.6,33.0,32.8,32.4,3.996255508588453,4,400
111,12.9,33.6,33.2,32.8,32.4,3.8004028427013266,3,400
112,12.8,33.4,33.0,32.6,32.1,4.00779435846835,4,450
113,12.8,33.4,33.1,32.8,32.1,3.526590492312033,3,450
114,12.7,33.5,33.3,32.9,32.2,3.4809760308692956,3,450
115,12.7,33.5,33.4,32.9,32.3,3.2098941778136934,4,450
116,12.6,33.3,33.2,32.8,32.2,3.0687837182611046,3,450
117,12.6,33.5,33.5,33.1,32.4,3.047746762721485,4,450
118,12.6,33.4,33.4,33.0,32.4,3.724328899209418,3,450
119,12.7,33.3,33.3,32.9,32.3,8.551207002868454,4,450
120,12.8,33.2,33.2,32.8,32.1,7.999800004999876,2,450
121,12.8,33.2,33.2,32.9,32.1,4.498988177558867,2,450
122,12.9,33.3,33.3,32.9,32.2,3.5166195439647776,3,450
