,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
150,12.1,34.6,34.3,33.9,33.9,1.7225104556384658,4,500
151,12.1,34.6,34.3,34.1,33.9,1.6863705006581062,4,500
152,12.1,34.7,34.4,34.1,34.0,1.7505164023386899,4,500
153,12.0,34.5,34.2,33.9,33.8,1.7033047518795967,4,500
154,12.0,34.6,34.3,34.0,33.8,1.604424360616837,4,500
155,12.0,34.6,34.4,34.1,33.8,1.6590199671348145,3,500
156,12.0,34.7,34.5,34.1,33.8,1.5789644046159446,2,500
157,12.0,34.6,34.4,33.9,33.7,1.3823047028079447,2,550
158,12.0,34.8,34.5,34.0,33.8,1.2339927996520141,3,550
159,11.9,34.7,34.5,33.9,33.8,1.3472640435435739,2,550
160,11.9,34.9,34.6,34.0,33.9,1.3767552769308822,3,550
161,11.9,34.8,34.6,33.9,33.8,1.1614145564732021,3,550
162,11.9,34.9,34.7,34.1,34.0,1.3539320556276524,3,550
163,11.8,35.0,34.6,33.9,33.9,1.2801130595854227,3,550
164,11.8,34.9,34.5,33.9,33.8,1.2270322568374838,3,550
165,11.8,35.0,34.6,34.0,33.9,1.2924238116163052,3,550
166,11.8,34.9,34.6,33.9,33.8,1.2705430936453788,3,550
167,11.8,35.0,34.7,34.0,33.9,1.3979561880530664,3,550
168,11.7,34.9,34.6,34.0,33.9,1.2764292657149185,3,550
169,11.7,35.1,34.7,34.1,34.0,1.2301847983604097,2,550
170,11.7,35.1,34.7,34.0,33.9,1.2139524409852196,3,550
171,11.6,35.0,34.6,34.0,33.8,1.3571743629762836,4,550
172,11.7,35.1,34.7,34.0,33.9,1.228248486951395,4,550
173,11.6,35.1,34.6,33.9,33.8,1.264772543305812,3,550
174,11.6,35.2,34.8,34.1,33.9,1.2300470985034018,4,550
175,11.6,35.1,34.7,34.0,33.8,1.3037869142818774,4,550
176,11.6,35.1,34.6,34.0,33.8,1.2625800317917653,3,550
177,11.6,35.2,34.8,34.0,33.9,1.2990682433024912,4,550
178,11.5,35.1,34.7,33.9,33.9,1.330133033255321,3,550
179,11.5,35.2,34.7,34.0,34.0,1.356053558691354,4,550
180,11.5,35.2,34.7,33.9,33.9,1.3438891345219584,3,550
181,11.5,35.3,34.8,34.0,34.0,1.1764830451145953,3,550
182,11.5,35.2,34.8,33.9,34.0,1.3045480458522547,3,550
183,11.4,35.2,34.7,33.9,33.9,1.1122647768546599,3,550
184,11.5,35.3,34.9,34.0,34.1,1.161198775167532,3,550
185,11.4,35.3,34.8,33.9,34.0,1.1618429850534708,3,550
186,11.4,35.2,34.7,33.8,34.0,1.2736484679282578,4,550
187,11.4,35.3,34.8,33.9,34.1,1.4331133743155986,4,550
188,11.4,35.2,34.7,33.9,34.1,1.3412961615457097,3,550
189,11.4,35.3,34.8,34.0,34.2,1.1970077201012908,4,550
190,11.3,35.2,34.7,33.9,34.1,1.4207401061434932,4,550
191,11.4,35.3,34.8,33.9,34.2,1.3999426023533035,2,550
192,11.4,35.4,35.0,34.1,34.3,2.1874227566339064,3,550
