Sampling,Accuracy,,last

ed,0.805033903817336,,0.99315071105957
sw-o,0.890645120541255,,0.838383853435516
irw,0.849740938345591,,0.990783393383026
last,0.909885521729787,,1
,,,0.992592573165894
,,,1
,,,0.811475396156311
,,,0.927083313465118
,,,0.759999990463257
,,,0.789473712444305
